Label,Day 0,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21
-1.0,0.285245901639,0.3,0.298360655738,0.344262295082,0.147540983607,0.234426229508,0.0,0.303278688525,0.477049180328,0.82131147541,0.775409836066,0.890163934426,0.929508196721,0.877049180328,1.0,0.827868852459,0.9,0.901639344262,0.696721311475,0.75737704918,0.865573770492,0.883606557377
1.0,0.3,0.298360655738,0.344262295082,0.147540983607,0.234426229508,0.0,0.303278688525,0.477049180328,0.82131147541,0.775409836066,0.890163934426,0.929508196721,0.877049180328,1.0,0.827868852459,0.9,0.901639344262,0.696721311475,0.75737704918,0.865573770492,0.883606557377,0.691803278689
1.0,0.298360655738,0.344262295082,0.147540983607,0.234426229508,0.0,0.303278688525,0.477049180328,0.82131147541,0.775409836066,0.890163934426,0.929508196721,0.877049180328,1.0,0.827868852459,0.9,0.901639344262,0.696721311475,0.75737704918,0.865573770492,0.883606557377,0.691803278689,0.718032786885
-1.0,0.344262295082,0.147540983607,0.234426229508,0.0,0.303278688525,0.477049180328,0.82131147541,0.775409836066,0.890163934426,0.929508196721,0.877049180328,1.0,0.827868852459,0.9,0.901639344262,0.696721311475,0.75737704918,0.865573770492,0.883606557377,0.691803278689,0.718032786885,0.803278688525
-1.0,0.147540983607,0.234426229508,0.0,0.303278688525,0.477049180328,0.82131147541,0.775409836066,0.890163934426,0.929508196721,0.877049180328,1.0,0.827868852459,0.9,0.901639344262,0.696721311475,0.75737704918,0.865573770492,0.883606557377,0.691803278689,0.718032786885,0.803278688525,0.56393442623
-1.0,0.234426229508,0.0,0.303278688525,0.477049180328,0.82131147541,0.775409836066,0.890163934426,0.929508196721,0.877049180328,1.0,0.827868852459,0.9,0.901639344262,0.696721311475,0.75737704918,0.865573770492,0.883606557377,0.691803278689,0.718032786885,0.803278688525,0.56393442623,0.4
1.0,0.0,0.303278688525,0.477049180328,0.82131147541,0.775409836066,0.890163934426,0.929508196721,0.877049180328,1.0,0.827868852459,0.9,0.901639344262,0.696721311475,0.75737704918,0.865573770492,0.883606557377,0.691803278689,0.718032786885,0.803278688525,0.56393442623,0.4,0.255737704918
1.0,0.0638766519824,0.297356828194,0.759911894273,0.698237885463,0.852422907489,0.905286343612,0.834801762115,1.0,0.76872246696,0.86563876652,0.867841409692,0.592511013216,0.674008810573,0.819383259912,0.843612334802,0.5859030837,0.621145374449,0.735682819383,0.4140969163,0.193832599119,0.0,0.114537444934
0.0,0.297356828194,0.759911894273,0.698237885463,0.852422907489,0.905286343612,0.834801762115,1.0,0.76872246696,0.86563876652,0.867841409692,0.592511013216,0.674008810573,0.819383259912,0.843612334802,0.5859030837,0.621145374449,0.735682819383,0.4140969163,0.193832599119,0.0,0.114537444934,0.132158590308
1.0,0.759911894273,0.698237885463,0.852422907489,0.905286343612,0.834801762115,1.0,0.76872246696,0.86563876652,0.867841409692,0.592511013216,0.674008810573,0.819383259912,0.843612334802,0.5859030837,0.621145374449,0.735682819383,0.4140969163,0.193832599119,0.0,0.114537444934,0.132158590308,0.132158590308
1.0,0.698237885463,0.852422907489,0.905286343612,0.834801762115,1.0,0.76872246696,0.86563876652,0.867841409692,0.592511013216,0.674008810573,0.819383259912,0.843612334802,0.5859030837,0.621145374449,0.735682819383,0.4140969163,0.193832599119,0.0,0.114537444934,0.132158590308,0.132158590308,0.306167400881
